title_display,primary_category,postings,median_salary,avg_applications,avg_views,opportunity_score,competition_level
Accounting Executive,Accounting / Auditing / Taxation,244,2700.0,1.3319672131147542,34.69672131147541,35.6,Medium
Accounting Executive (Tax),Accounting / Auditing / Taxation,56,3150.0,0.4107142857142857,9.75,30.3,Low
Accounting Executive/Supervisor,Accounting / Auditing / Taxation,49,3050.0,0.1836734693877551,12.795918367346939,28.8,Low
Accounting Manager,Accounting / Auditing / Taxation,185,6250.0,4.47027027027027,48.86486486486486,36.6,Medium
Accounting Officer,Accounting / Auditing / Taxation,91,3650.0,2.6483516483516483,38.417582417582416,29.0,Medium
Accounting Programmer,Accounting / Auditing / Taxation,21,5850.0,0.3333333333333333,11.238095238095237,30.5,Low
Accounting Specialist,Accounting / Auditing / Taxation,24,4575.0,4.125,74.45833333333333,20.0,Medium
Accounting Supervisor,Accounting / Auditing / Taxation,148,3000.0,0.28378378378378377,10.85135135135135,35.7,Low
Accounts,Accounting / Auditing / Taxation,35,3250.0,5.228571428571429,77.54285714285714,18.5,High
Accounts & Admin Assistant,Accounting / Auditing / Taxation,57,2450.0,1.9473684210526316,68.03508771929825,24.1,Medium
Accounts & Admin Assistant #65050,Admin / Secretarial,29,2250.0,0.5172413793103449,11.724137931034482,24.6,Low
Accounts & Admin Executive,Accounting / Auditing / Taxation,127,3000.0,3.716535433070866,76.08661417322834,27.9,Medium
Accounts & Finance Manager #65868,Accounting / Auditing / Taxation,24,6750.0,0.625,15.666666666666666,31.4,Low
Accounts & Hr Executive,Accounting / Auditing / Taxation,24,3075.0,1.5833333333333333,37.458333333333336,20.2,Medium
Accounts & Hr Officer #65709,Accounting / Auditing / Taxation,38,2650.0,0.02631578947368421,3.3947368421052633,29.3,Low
Accounts Admin,Accounting / Auditing / Taxation,29,2650.0,1.2758620689655173,36.689655172413794,21.7,Medium
Accounts Admin #66131,Accounting / Auditing / Taxation,24,2650.0,0.16666666666666666,7.916666666666667,25.5,Low
Accounts Admin Assistant,Accounting / Auditing / Taxation,48,2550.0,1.5625,55.729166666666664,24.0,Medium
Accounts Administrator,Accounting / Auditing / Taxation,36,3000.0,1.8611111111111112,65.19444444444444,22.9,Medium
Accounts Administrator #65846,Accounting / Auditing / Taxation,25,3000.0,0.24,5.04,26.1,Low
Accounts And Admin Assistant,Accounting / Auditing / Taxation,54,2625.0,2.8703703703703702,62.94444444444444,22.8,Medium
Accounts And Admin Assistant #65882,Admin / Secretarial,25,2600.0,0.12,7.68,25.9,Low
Accounts And Admin Executive,Accounting / Auditing / Taxation,521,3150.0,0.8618042226487524,19.34932821497121,43.6,Low
Accounts And Admin Executive #65822,Admin / Secretarial,25,2500.0,0.08,3.92,25.9,Low
Accounts Assistant,Accounting / Auditing / Taxation,1587,2600.0,2.313169502205419,63.85822306238185,46.6,Medium
Accounts Assistant,Admin / Secretarial,28,2700.0,2.2857142857142856,59.642857142857146,19.7,Medium
Accounts Assistant,Banking and Finance,39,2550.0,5.948717948717949,92.28205128205128,18.5,High
Accounts Assistant,Building and Construction,53,2750.0,2.9245283018867925,56.56603773584906,23.5,Medium
Accounts Assistant #65183,Accounting / Auditing / Taxation,27,2000.0,0.037037037037037035,5.777777777777778,25.7,Low
Accounts Assistant #66142,Accounting / Auditing / Taxation,24,2650.0,0.0,10.166666666666666,26.4,Low
Accounts Assistant (4-Month Contract),Accounting / Auditing / Taxation,20,2500.0,0.15,19.15,22.0,Low
Accounts Assistant (Accounting Firm),Accounting / Auditing / Taxation,53,2600.0,0.8301886792452831,19.20754716981132,26.2,Low
